id,name,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
ronin,Ronin,1.62,618818210,-4.03395,4.45,0.196601,25-01-2025
pumpbtc,pumpBTC,101578.0,608979582,-0.65625,107240.0,48890.0,25-01-2025
pancakeswap-token,PancakeSwap,2.1,608444523,-2.95937,43.96,0.194441,25-01-2025
ultima,Ultima,14045.42,604776276,0.80218,20506.0,2038.41,25-01-2025
pendle,Pendle,3.68,604138330,0.6824,7.5,0.03377729,25-01-2025
meow,MEOW,0.00670074,602406271,-7.81113,0.00923668,3.4e-06,25-01-2025
axelar,Axelar,0.659713,597685724,2.35247,2.64,0.312911,25-01-2025
mina-protocol,Mina Protocol,0.490087,592984243,-2.88406,9.09,0.333518,25-01-2025
gigachad-2,Gigachad,0.06148,588289596,-17.16563,0.095127,1.244e-05,25-01-2025
gnosis,Gnosis,225.11,583164767,-3.57088,644.2,6.88,25-01-2025
resolv-usr,Resolv USR,1.0,567569665,-0.00598,1.021,0.979619,25-01-2025
mog-coin,Mog Coin,1.46e-06,565763403,-10.2844,4.02e-06,4.526e-09,25-01-2025
pax-gold,PAX Gold,2767.72,562035288,0.17887,2855.83,1399.64,25-01-2025
zksync,ZKsync,0.152486,559283248,-3.20005,0.320983,0.08305,25-01-2025
aixbt,aixbt by Virtuals,0.642809,547705278,-9.82599,0.942578,0.02381257,25-01-2025
beldex,Beldex,0.078205,540726457,-1.05299,0.450785,0.00027519,25-01-2025
bitcoin-avalanche-bridged-btc-b,Avalanche Bridged BTC (Avalanche),104447.0,540654982,-0.42647,108820.0,7806.11,25-01-2025
telcoin,Telcoin,0.00693258,538811247,1.91317,0.064483,6.474e-05,25-01-2025
havven,Synthetix Network,1.58,536278153,-3.77701,28.53,0.0347864,25-01-2025
coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,3583.04,535359441,-2.76305,4434.57,1036.96,25-01-2025
echelon-prime,Echelon Prime,10.01,529316620,-15.39347,28.0,1.19,25-01-2025
insurance-2,INSURANCE,27.66,517271169,0.41221,27.73,2.16,25-01-2025
dydx,dYdX,1.14,513322576,-4.11731,27.86,0.807449,25-01-2025
chex-token,CHEX Token,0.51235,511163098,-2.60912,0.804342,0.0005008,25-01-2025
stakestone-berachain-vault-token,StakeStone Berachain Vault Token,3297.32,507048490,-3.0854,3453.2,3131.68,25-01-2025
apenft,APENFT,5.11291e-07,506179422,-1.14974,7.53e-06,2.98737e-07,25-01-2025
snek,Snek,0.00678375,505929981,2.15549,0.00895508,0.00013847,25-01-2025
notcoin,Notcoin,0.0049086,499534483,-3.70626,0.02836145,0.00461057,25-01-2025
true-usd,TrueUSD,0.998363,494342354,-0.0081,1.62,0.88355,25-01-2025
paypal-usd,PayPal USD,0.999835,486379425,-0.02459,1.021,0.959426,25-01-2025
kava,Kava,0.446758,481683809,-3.78464,9.12,0.247359,25-01-2025
tribal-token,Tribal Token,5.32,477987846,1918.43515,3.29,0.055746,25-01-2025
frax-ether,Frax Ether,3311.59,474440264,-1.93204,4084.25,1137.25,25-01-2025
vethor-token,VeThor,0.00548426,471149732,-6.12719,0.04671227,0.00015238,25-01-2025
polygon-pos-bridged-weth-polygon-pos,Polygon PoS Bridged WETH (Polygon POS),3297.2,470803370,-3.00002,4090.99,2162.83,25-01-2025
tbtc,tBTC,104310.0,463513190,-0.51789,108501.0,10104.3,25-01-2025
grass,Grass,1.85,450253287,-5.89217,3.89,0.654959,25-01-2025
superfarm,SuperVerse,0.999468,450227865,-5.70035,4.74,0.070397,25-01-2025
griffain,GRIFFAIN,0.44523,446529109,-10.25873,0.62487,0.060212,25-01-2025
livepeer,Livepeer,11.84,443544016,-3.65668,99.03,0.354051,25-01-2025
terra-luna,Terra Luna Classic,8.027e-05,441391034,-4.39602,119.18,9.99967e-07,25-01-2025
stader-ethx,Stader ETHx,3460.79,440387727,-2.73797,4275.3,1537.24,25-01-2025
kusama,Kusama,27.13,433824416,-2.49722,621.71,0.876572,25-01-2025
arkham,Arkham,1.24,432968846,-2.10716,3.98,0.287824,25-01-2025
1inch,1inch,0.310071,432856941,-2.90353,8.65,0.214183,25-01-2025
sweth,Swell Ethereum,3556.86,431375079,-3.11822,4395.57,1535.26,25-01-2025
dash,Dash,35.47,430092611,-0.0613,1493.59,0.213899,25-01-2025
cat-in-a-dogs-world,cat in a dogs world,0.00485008,429986460,-3.31818,0.01288153,0.00091206,25-01-2025
quantixai,QuantixAI,88.32,428420181,-0.38684,105.74,0.228366,25-01-2025
trust-wallet-token,Trust Wallet,1.03,428231510,-0.69699,2.72,0.00277641,25-01-2025
creditcoin-2,Creditcoin,1.023,426470681,2.78168,8.67,0.128298,25-01-2025
oasis-network,Oasis,0.063366,425469701,-4.45272,0.597347,0.03200566,25-01-2025
layerzero,LayerZero,3.85,425183761,-5.84523,7.47,2.48,25-01-2025
safe,Safe,0.804383,423807394,-2.4286,3.56,0.619886,25-01-2025
popcat,Popcat,0.435288,423326184,-24.37225,2.05,0.00379728,25-01-2025
theta-fuel,Theta Fuel,0.062116,423212014,1.47504,0.68159,0.00090804,25-01-2025
bridged-usdc-polygon-pos-bridge,Bridged USDC (Polygon PoS Bridge),0.999602,421986823,-0.02587,1.028,0.975633,25-01-2025
bio-protocol,Bio Protocol,0.262101,420240534,-2.87815,0.888995,0.230193,25-01-2025
blur,Blur,0.194281,419571013,-2.69449,5.02,0.109611,25-01-2025
io,io.net,3.13,419261127,-1.96021,6.43,1.31,25-01-2025
nervos-network,Nervos Network,0.00921724,418846950,-2.54742,0.04370633,0.00197892,25-01-2025
super-oeth,Super OETH,3299.36,414186342,-2.90021,4099.87,2170.26,25-01-2025
ordinals,ORDI,19.85,413581918,-2.14263,95.52,2.86,25-01-2025
solayer-staked-sol,Solayer Staked SOL,261.84,409468007,-4.36099,304.31,123.11,25-01-2025
turbo,Turbo,0.00595505,408118105,-1.42009,0.01431669,6.518e-05,25-01-2025
usdb,USDB,1.005,408000827,0.07147,1.07,0.889651,25-01-2025
hashnote-usyc,Hashnote USYC,1.075,403830746,-0.19091,1.1,1.026,25-01-2025
astar,Astar,0.053139,397096238,-0.96385,0.421574,0.03269521,25-01-2025
holotoken,Holo,0.00221895,393203923,-2.86576,0.03126682,0.0002202,25-01-2025
dog-go-to-the-moon-rune,Dog (Bitcoin),0.00389975,390851704,-11.08659,0.0099237,0.0018022,25-01-2025
agentfun-ai,AgentFun.AI,3.84,385055621,-2.1487,25.25,3.47,25-01-2025
freysa-ai,Freysa AI,0.04709414,384525522,-12.49929,0.080047,0.00158821,25-01-2025
just,JUST,0.0387493,383011678,0.46034,0.193254,0.00476275,25-01-2025
zilliqa,Zilliqa,0.0195399,380684693,-2.5312,0.255376,0.00239616,25-01-2025
ondo-us-dollar-yield,Ondo US Dollar Yield,1.07,378431974,0.10195,1.26,0.934184,25-01-2025
verus-coin,Verus,4.78,376153794,-0.12701,6.74,0.00177843,25-01-2025
ether-fi,Ether.fi,1.7,369891497,-6.45056,8.53,1.097,25-01-2025
mx-token,MX,3.89,369091298,0.55725,5.85,0.04218457,25-01-2025
olympus,Olympus,22.47,368584481,-0.34141,1415.26,7.54,25-01-2025
binance-peg-busd,Binance-Peg BUSD,1.001,367465562,0.13144,1.064,0.954278,25-01-2025
0x,0x Protocol,0.433088,367132106,-2.69725,2.5,0.120667,25-01-2025
baby-doge-coin,Baby Doge Coin,2.207e-09,365354017,-2.00965,6.498e-09,9.4771e-11,25-01-2025
liquid-staked-ethereum,Liquid Staked ETH,3512.62,362986790,-2.86412,4332.67,1384.61,25-01-2025
akuma-inu,Akuma Inu,0.00054714,362717719,-14.07179,0.00134788,6.26e-06,25-01-2025
compound-wrapped-btc,cWBTC,2096.74,362581184,-0.5334,2187.46,91.15,25-01-2025
origintrail,OriginTrail,0.722161,360709483,-0.73687,3.5,0.00385262,25-01-2025
aethir,Aethir,0.057881,356763737,-1.13886,0.118536,0.03808665,25-01-2025
ai-rig-complex,AI Rig Complex,0.359095,356656920,-22.73639,0.623197,0.03048132,25-01-2025
melania-meme,Melania Meme,2.38,356147457,-12.59869,13.05,2.37,25-01-2025
polygon-bridged-wbtc-polygon-pos,Polygon Bridged WBTC (Polygon POS),104269.0,349071634,-0.51534,108124.0,49937.0,25-01-2025
staked-frax-ether,Staked Frax Ether,3653.01,345218329,-3.12129,7545.09,1147.58,25-01-2025
